,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME
297416,16746434.0,COC1=CC(=C(C(=C1)OC)C(CCN2CCCCC2)C3=CC4=C(C=C3)OCO4)O,Inactive
139487,1956223.0,CCCC1=NC2=C(C3=C1COC(C3)(C)C)C4=C(O2)C(=NC=N4)OC,Inactive
357753,16195270.0,C1=CC(=C(C=C1N)C(=O)O)N.Cl,Inactive
218607,16317361.0,CC(C)CN(C1CCS(=O)(=O)C1)C(=O)CN2C=CC=CC2=O,Inactive
74238,16017736.0,CN1C2=C(CS(=O)(=O)C3=CC=CC=C32)C(=N1)C(=O)N4CCN(CC4)C5=CC=CC=C5F,Inactive
109089,763094.0,CN1CCN(CC1)CC(=O)NC2=CC=C(C=C2)OC3=CC=CC=C3,Inactive
99379,1301524.0,COC1=C(C=C(C=C1)CNC(=O)C2=C(C=CC(=C2)SC)Cl)OC,Inactive
217359,16326130.0,CC1=C(C(=CC=C1)C)NC(=O)CN(C)C(=O)C2CC(=O)N(C2)C3=CC=CC4=CC=CC=C43,Inactive
221300,16315672.0,CC1=C(C(=NN1C2CCS(=O)(=O)C2)C)CN(C)C(=O)C3=CC=C(C=C3)Cl,Inactive
95509,2190906.0,C/C(=C\C1=CC=CC=C1)/C(=O)NCC2=CC=CO2,Inactive
152681,227383.0,C1C(=O)C=C(C1(C2=CC=CC=C2)O)C3=CC=CC=C3,Inactive
310606,829835.0,CC(C)N(C(C)C)S(=O)(=O)C1=CN=C(C=C1)OC(C)C,Inactive
83845,6603583.0,CC1=CC=C(S1)CNC2=CC=C(C=C2)N3CCN(CC3)C(=O)C.Cl,Inactive
350911,53300191.0,CCCCCCCCN1C2=CCCCC[C@@]2(C[C@H](C1=O)CC(=O)N3CCSCC3)C(=O)OC,Inactive
358,5281727.0,COC1=CC(=CC(=C1)/C=C/C2=CC=C(C=C2)O)OC,Inactive
63915,903798.0,CC1=CC=C(C=C1)C(=O)N2CCN(CC2)C3=NC=CC=N3,Inactive
120310,15944368.0,C1=CC=NC(=C1)NC(=O)CSC2=NN=C(O2)COC3=C(C=C(C=C3)Cl)Cl,Inactive
